Temporada,Time_casa,Time_visitante,Placar_mand,Placar_visit,Result_mand,Ranking_mand,Ranking_visit,Valor_mand,Valor_visit,Taxa_gols_mand,Taxa_gols_visit,Vitorias_mand,Derrotas_mand,Empates_mand,Vitorias_visit,Derrotas_visit,Empates_visit,Saldo_gols_mand,Saldo_gols_visit,Aproveitamento_mand,Aproveitamento_visit
2013,Vasco da Gama,Portuguesa - SP,1,0,2,15030.0,7840.0,27.2,16.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0
2013,Vitória - BA,Internacional,2,2,1,9900.0,14360.0,17.88,62.3,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2013,Corinthians SP,Botafogo - RJ,1,1,1,15624.0,10622.0,84.55,36.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2013,Grêmio Porto Alegre,Náutico - PE,2,0,2,14460.0,8036.0,77.65,14.1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,1.0,0.0
2013,Ponte Preta,São Paulo FC,0,2,0,7600.0,14786.0,13.78,115.8,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,2.0,0.0,1.0
2013,Criciúma - SC,Bahia - BA,3,1,2,4370.0,9282.0,15.1,24.05,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-2.0,1.0,0.0
2013,Santos FC,Flamengo RJ,0,0,1,13736.0,14352.0,103.75,44.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2013,Fluminense RJ,Athletico Paranaense,2,1,2,16208.0,11078.0,68.15,15.85,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0
2013,Cruzeiro,Goiás,5,0,2,13096.0,9896.0,55.25,8.65,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,-5.0,1.0,0.0
2013,Coritiba FC,Atlético Mineiro,2,1,2,12804.0,11520.0,31.4,46.1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0
2013,Athletico Paranaense,Cruzeiro,2,2,1,11078.0,13096.0,15.85,55.25,1.5,3.5,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,5.0,0.16666666666666666,0.6666666666666666
2013,Botafogo - RJ,Santos FC,2,1,2,10622.0,13736.0,36.0,103.75,1.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.6666666666666666,0.16666666666666666
2013,São Paulo FC,Vasco da Gama,5,1,2,14786.0,15030.0,115.8,27.2,3.5,1.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,-3.0,1.0,0.5
2013,Flamengo RJ,Ponte Preta,0,2,0,14352.0,7600.0,44.45,13.78,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-2.0,0.0,0.16666666666666666,0.5
